product_name;generic_name;nutrition_grade_fr;stores;url
Perrier citron vert;Boisson à l'eau minérale naturellement... à l'arôme Citron Vert - Perrier Citron Vert;b;Magasins U,Delhaize;https://fr.openfoodfacts.org/produit/3179732368942/perrier-citron-vert
Lait d'amande vanille;;b;Magasins U;https://fr.openfoodfacts.org/produit/3229820789002/lait-d-amande-vanille-bjorg
P’tit Yop goût framboise;;b;;https://fr.openfoodfacts.org/produit/3329778164026/p-tit-yop-gout-framboise-yoplait
Boisson d'épeautre;Boisson biologique à base d'épeautre, stérilisée UHT;b;Auchan,Super U,Magasins U;https://fr.openfoodfacts.org/produit/3229820181417/boisson-d-epeautre-bjorg
Perrier saveur citron;;b;Magasins U;https://fr.openfoodfacts.org/produit/3179732368911/perrier-saveur-citron
Lait d'amande chocolat;Boisson amande chocolat Bio;b;monoprix, Magasins U;https://fr.openfoodfacts.org/produit/3229820784946/lait-d-amande-chocolat-bjorg
Pur jus de citron;;b;;https://fr.openfoodfacts.org/produit/3456300002492/pur-jus-de-citron-jardin-bio
Mini Yop Fraise;Yaourt à boire sucré aromatisé;b;Leclerc,Carrefour;https://fr.openfoodfacts.org/produit/3329770047891/mini-yop-fraise-yoplait
Eau de Source;;b;;https://fr.openfoodfacts.org/produit/4056489032984/eau-de-source-saguaro
100% pur jus citron;Pur jus de citron;b;LIDL;https://fr.openfoodfacts.org/produit/20065355/100-pur-jus-citron-solevita
Lait végétal épeautre noisette;Boisson épautre;b;Monoprix,Magasins U;https://fr.openfoodfacts.org/produit/3229820783338/lait-vegetal-epeautre-noisette-bjorg
Le Pur Jus multifruits (eau de coco);Jus de fruits;b;Magasins U;https://fr.openfoodfacts.org/produit/3123349013474/le-pur-jus-multifruits-eau-de-coco-joker
