product_name;generic_name;nutrition_grade_fr;stores;url
Biscuits de Son d'avoine saveur speculoos;Biscuits de Son d'avoine saveur speculoos avec édulcorants;a;CASINO;https://fr.openfoodfacts.org/produit/3760151012518/biscuits-de-son-d-avoine-saveur-speculoos-dukan
Crumble de saison;Crumbles aux légumes;a;;https://fr.openfoodfacts.org/produit/3760253460248/crumble-de-saison-l-atelier-v
Crème pâtissière;;a;;https://fr.openfoodfacts.org/produit/6111180013613/creme-patissiere-ideal
Biscuit citron;;a;;https://fr.openfoodfacts.org/produit/3423720032057/biscuit-citron-bio-soleil
Biscuits noisettes & Raisins;Nature&Bienfaits Biscuits Noisettes & Rasins;a;;https://fr.openfoodfacts.org/produit/3423720032019/biscuits-noisettes-raisins-bio-soleil
Biscuits Cranberries;;a;;https://fr.openfoodfacts.org/produit/3423720032040/biscuits-cranberries-bio-soleil
Mini Malo Pavot et graines de lin Les Craquelins de Saint Malo;Mini Toasts Pavot et graines de lin;a;Monoprix;https://fr.openfoodfacts.org/produit/3300085005301/mini-malo-pavot-et-graines-de-lin-les-craquelins-de-saint-malo
Biscuits 3 graines;;a;;https://fr.openfoodfacts.org/produit/3760020504748/biscuits-3-graines-karelea
Mug cake protéiné;Mug cake protéiné;a;;https://fr.openfoodfacts.org/produit/5055936868434/mug-cake-proteine-myprotein
High Protein Donut;Donut protéiné;a;;https://fr.openfoodfacts.org/produit/5060523490011/high-protein-donut-jim-buddy-s
High protein donut;Donut protéiné;a;;https://fr.openfoodfacts.org/produit/5060523490028/high-protein-donut-jim-buddy-s
