product_name;generic_name;nutrition_grade_fr;stores;url
Champignons tomates 100% fraîches;Sauce tomate & champignons;b;Magasins U;https://fr.openfoodfacts.org/produit/3038354190303/champignons-tomates-100-fraiches-panzani
Sauce bolognaise;;b;Aldi;https://fr.openfoodfacts.org/produit/26020242/sauce-bolognaise-delicato
Harissa;Harissa;b;;https://fr.openfoodfacts.org/produit/3276650100590/harissa-samia
Olives & Basilic;Sauce tomate olives et basilic;b;Super U, Magasins U;https://fr.openfoodfacts.org/produit/3038359001581/olives-basilic-panzani
Guacamole;spécialité à base d'avocat;b;Leclerc;https://fr.openfoodfacts.org/produit/3564700333242/guacamole-tables-du-monde
Sauce tomate à l'ail;Sauce tomate à l'ail, vin rouge et fines herbes;b;Magasins U;https://fr.openfoodfacts.org/produit/8076809572996/sauce-tomate-a-l-ail-barilla
Sauce tomate aux olives;Sauce tomate aux olives;b;Lidl;https://fr.openfoodfacts.org/produit/20037161/sauce-tomate-aux-olives-combino
Bolognaise;Sauce bolognaise à la viande de bœuf;b;Intermarché;https://fr.openfoodfacts.org/produit/3250390765301/bolognaise-fiorini
Guacamole;Purée à l'avocat finement épicée;b;;https://fr.openfoodfacts.org/produit/8410076420794/guacamole-old-el-paso
Crème Anglaise;Crème anglaise stérilisée UHT;b;Leclerc;https://fr.openfoodfacts.org/produit/3564700416884/creme-anglaise-delisse
