product_name;generic_name;nutrition_grade_fr;stores;url
Lentilles préparées &quot;tendres & fondantes&quot;;Plat préparé en conserve;a;Carrefour, Magasins U;https://fr.openfoodfacts.org/produit/3083680652094/lentilles-preparees-tendres-fondantes-cassegrain
;Taboulé au poulet à la ciboulette;a;Leclerc,Banque alimentaire,Magasins U;https://fr.openfoodfacts.org/produit/3281780085105/pierre-martinet
Gazpacho;Soupe froide de légumes;a;;https://fr.openfoodfacts.org/produit/3168930158998/gazpacho-alvalle
Le Cassoulet Mitonné;Cassoulet;a;Leclerc,Franprix;https://fr.openfoodfacts.org/produit/3261055930439/le-cassoulet-mitonne-william-saurin
Lentilles carotte;Plat cuisiné appertisé biologique, à base de lentilles et de carottes;a;Carrefour,Magasins U;https://fr.openfoodfacts.org/produit/3229820188751/lentilles-carotte-bjorg
Betteraves à la Moutarde à l'Ancienne;Salade de betteraves assaisonnée;a;Monoprix,Casino,Magasins U;https://fr.openfoodfacts.org/produit/3083680588324/betteraves-a-la-moutarde-a-l-ancienne-bonduelle
Knorr Comme à La Maison Soupe Liquide Légumes du Potager 45cl;Soupe.;a;Auchan;https://fr.openfoodfacts.org/produit/8711200350377/knorr-comme-a-la-maison-soupe-liquide-legumes-du-potager-45cl
Baked beans in tomato sauce;Baked beans in tomato sauce;a;Asda,Дикси,Lidl,Netto;https://fr.openfoodfacts.org/produit/5000157024671/baked-beans-heinz
Quinoa et Boulghour à l'indienne Bio;Plat préparé issu de l'agriculture biologique;a;Magasins U;https://fr.openfoodfacts.org/produit/3175681085398/quinoa-et-boulghour-a-l-indienne-bio-cereal-bio
Légumes Secs Gourmands;Préparation à base de légumes secs (Lentilles, soja, pois cassés et lupin);a;Carrefour, Magasins U;https://fr.openfoodfacts.org/produit/3600900006682/legumes-secs-gourmands-tipiak
Céréales Gourmandes;Préparation précuite à base de blé, de soja, de maïs et d'autres céréales;a;Carrefour,Magasins U,Auchan;https://fr.openfoodfacts.org/produit/3165440008621/cereales-gourmandes-tipiak
Quinoa Tomates Olives Bio;;a;lidl;https://fr.openfoodfacts.org/produit/3229820795676/quinoa-tomates-olives-bio-bjorg
Soupe froide Tomate, Pastèque & Menthe;Soupe froide à la tomate, pastèque et menthe;a;Magasins U;https://fr.openfoodfacts.org/produit/5410188028751/soupe-froide-tomate-pasteque-menthe-alvalle
Bâtonnets de la mer goût crabe;Préparation à base de chair de poisson saveur crabe;a;Hyper U,Magasins U;https://fr.openfoodfacts.org/produit/3256220125772/batonnets-de-la-mer-gout-crabe-u
Haricots Coco cuisinés aux Tomates laurier et sauge;Haricots Coco;a;Carrefour Purpan,Magasins U;https://fr.openfoodfacts.org/produit/3083681001808/haricots-coco-cuisines-aux-tomates-laurier-et-sauge-cassegrain
