product_name;generic_name;nutrition_grade_fr;stores;url
Mon Taboulé au Poulet à la ciboulette;Taboulé au poulet;b;Casino,Leclerc,Magasins U;https://fr.openfoodfacts.org/produit/3281780025514/mon-taboule-au-poulet-a-la-ciboulette-pierre-martinet
bâtonnets de surimi;;b;Magasins U;https://fr.openfoodfacts.org/produit/3276170011185/batonnets-de-surimi-coraya-l-original
Riz à la provençale au Thon et Basilic;Salade de riz, tomate, thon et basilic assaisonnée;b;Franprix,Leclerc;https://fr.openfoodfacts.org/produit/3083681081596/riz-a-la-provencale-au-thon-et-basilic-bonduelle
Poulet salade crudité sauce caesar;Salade composée de salade verte, de crudités et de poulet rôti traitée en salaison accomapgnée d'une sauce caesar;b;Auchan,Magasins U;https://fr.openfoodfacts.org/produit/3367651004878/poulet-salade-crudite-sauce-caesar-daunat
Velouté de Potiron;;b;;https://fr.openfoodfacts.org/produit/3036811460266/veloute-de-potiron-liebig
Rillettes de Thon aux Olives Vertes;Rillettes de thon aux olives vertes;b;Carrefour,Magasins U;https://fr.openfoodfacts.org/produit/3019081236274/rillettes-de-thon-aux-olives-vertes-petit-navire
Couscous à la marocaine;plat préparé couscous à la Marocaine;b;leclerc,Franprix,Auchan,Casino,Carrefour,Magasins U;https://fr.openfoodfacts.org/produit/3302741843104/couscous-a-la-marocaine-fleury-michon
Knorr Soupe Liquide Mouliné de légumes variés 1l;Soupe.;b;Magasins U;https://fr.openfoodfacts.org/produit/8714100769362/knorr-soupe-liquide-mouline-de-legumes-varies-1l
Riz aux champignons de Paris;Riz long grain étuvé délicatement précuit à la vapeur et agrémenté de champignons;b;Carrefour,Franprix,SPAR;https://fr.openfoodfacts.org/produit/5010034516205/riz-aux-champignons-de-paris-uncle-ben-s
Mix salade chèvre & serpentini;Salade Chèvre noix et tomates. Mix Salade & Serpentini, Chèvre, Noix et Tomates Cerise, Sauce au Vinaigre Balsamique;b;Géant,Magasins U;https://fr.openfoodfacts.org/produit/3700009252758/mix-salade-chevre-serpentini-mix-buffet
Taboulé aux tomates fraiches;Taboulé aux tomates fraiches, menthe, citron & huile d'olive vierge (1,5% du poids net de la garniture);b;Carrefour Market,Leclerc;https://fr.openfoodfacts.org/produit/3038353421309/taboule-aux-tomates-fraiches-garbit
Knorr Soupe Liquide Velouté de 9 Légumes 1l;Soupe.;b;Magasins U;https://fr.openfoodfacts.org/produit/8714100766576/knorr-soupe-liquide-veloute-de-9-legumes-1l
Soupe froide de concombre & menthe;Soupe froide de concombre & menthe;b;Simply;https://fr.openfoodfacts.org/produit/5410188020304/soupe-froide-de-concombre-menthe-alvalle
Le Bâtonnet Moelleux - 18 Bâtonnets;Préparation à base de chair de poisson.;b;Simply Market,Bi1,Magasins U;https://fr.openfoodfacts.org/produit/3302747990024/le-batonnet-moelleux-18-batonnets-fleury-michon
Brandade de morue. Parmentiere;;b;;https://fr.openfoodfacts.org/produit/3571492210019/brandade-de-morue-parmentiere-briau
Salad bowl Maori;;b;;https://fr.openfoodfacts.org/produit/3242275003356/salad-bowl-maori-sodebo
Filets de limande du Nord meunière;Filets de limande du Nord meunière sans arête, cuits à cœur réfrigérées;b;LIDL;https://fr.openfoodfacts.org/produit/20466862/filets-de-limande-du-nord-meuniere-atlantic
Salade & Serpentini;;b;;https://fr.openfoodfacts.org/produit/17000093/salade-serpentini-mix-buffet
