product_name;generic_name;nutrition_grade_fr;stores;url
Glutenfreie Spekulatius;Spekulatius;b;Magasins U;https://fr.openfoodfacts.org/produit/8008698032114/spekulatius-schar
Galletas sandwich sabor yogurt sin azúcares añadidos;Galletas sandwich sabor yogurt sin azúcares añadidos;b;;https://fr.openfoodfacts.org/produit/8410376042481/galletas-sandwich-sabor-yogurt-sin-azucares-anadidos-gullon
3 graines - kasha sésame pavot;;b;;https://fr.openfoodfacts.org/produit/3175681257535/3-graines-kasha-sesame-pavot-gerble-bio
Mes biscuits petit dej bio noisettes;Biscuit aux céréales et à la noisette;b;Intermarché,Casino,Carrefour,Franprix;https://fr.openfoodfacts.org/produit/3760094310146/mes-biscuits-petit-dej-bio-noisettes-a-o
Galletas tostadas sin azúcares añadidos;;b;;https://fr.openfoodfacts.org/produit/8410376047509/galletas-tostadas-sin-azucares-anadidos-gullon
Tortas De Aceite - Sin Azucar;;b;;https://fr.openfoodfacts.org/produit/8410637116036/torta-de-aceite-original-sin-aza-car-ines-rosales
Surtido Sin Azucar;;b;;https://fr.openfoodfacts.org/produit/8411414012312/surtido-sin-azucar-florbu
Goûters aux raisins;;b;Delhaize;https://fr.openfoodfacts.org/produit/8723700009754/gouters-aux-raisins-cereal
Belvita petit déjeuner original;;b;;https://fr.openfoodfacts.org/produit/7622210728074/belvita-petit-dejeuner-original-lu
Galettes de riz au miel;;b;;https://fr.openfoodfacts.org/produit/7613356754867/galettes-de-riz-au-miel-coop-naturaplan
